Sym0		Asym0		Sym1		Sym2		Asym1		Asym2		Asym3	
345  Points		344  Points		206  Points		142  Points		293  Points		293  Points		145  Points	
Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)	Freq (MHz)	Vph (m/ms)
0.501665	4.78092	0.458279	4.31575	0.914365	8.71349			0.713312	6.80962	0.712893	6.81557		
0.504004	4.77325	0.461434	4.31867	0.917039	8.68446			0.71512	6.78421	0.7147	6.79008		
0.506354	4.76576	0.464588	4.32154	0.91967	8.65537			0.716931	6.75915	0.71651	6.76493		
0.508715	4.75847	0.46774	4.32436	0.922259	8.62625			0.718745	6.73442	0.718324	6.74013		
0.511085	4.75137	0.47089	4.32713	0.924807	8.59711			0.720562	6.71003	0.72014	6.71566		
0.513466	4.74444	0.474039	4.32985	0.927316	8.56796			0.722383	6.68597	0.72196	6.69152		
0.515857	4.73769	0.477186	4.33252	0.929787	8.53882			0.724208	6.66224	0.723784	6.66772		
0.518257	4.73112	0.48033	4.33514	0.932222	8.50969			0.726038	6.63883	0.725613	6.64424		
0.520668	4.7247	0.483473	4.33772	0.934622	8.4806			0.727872	6.61575	0.727446	6.62108		
0.523088	4.71845	0.486615	4.34024	0.936988	8.45154			0.72971	6.59298	0.729283	6.59824		
0.525517	4.71236	0.489754	4.34273	0.939321	8.42254			0.731554	6.57053	0.731126	6.57571		
0.527955	4.70642	0.492892	4.34517	0.941624	8.3936			0.733403	6.54839	0.732974	6.5535		
0.530403	4.70064	0.496028	4.34756	0.943896	8.36473			0.735258	6.52656	0.734827	6.5316		
0.532859	4.69499	0.499162	4.34991	0.94614	8.33595			0.737118	6.50503	0.736686	6.51		
0.535324	4.68949	0.502294	4.35222	0.948356	8.30726			0.738984	6.4838	0.738551	6.4887		
0.537798	4.68413	0.505425	4.35449	0.950547	8.27867			0.740857	6.46287	0.740422	6.4677		
0.54028	4.6789	0.508553	4.35672	0.952712	8.25019			0.742735	6.44224	0.742299	6.447		
0.542771	4.67381	0.511681	4.35891	0.954853	8.22182			0.744621	6.42189	0.744182	6.42659		
0.54527	4.66884	0.514806	4.36106	0.956971	8.19358			0.746512	6.40183	0.746073	6.40646		
0.547777	4.664	0.51793	4.36317	0.959067	8.16547			0.748411	6.38206	0.74797	6.38662		
0.550292	4.65927	0.521052	4.36524	0.961142	8.1375			0.750316	6.36256	0.749873	6.36706		
0.552815	4.65467	0.524172	4.36728	0.963198	8.10967			0.752229	6.34334	0.751784	6.34778		
0.555345	4.65018	0.52729	4.36928	0.965234	8.08198			0.754148	6.32439	0.753702	6.32876		
0.557883	4.6458	0.530407	4.37124	0.967253	8.05445			0.756075	6.30571	0.755627	6.31002		
0.560428	4.64153	0.533522	4.37317	0.969254	8.02708			0.75801	6.2873	0.75756	6.29155		
